"INSTID","UKPRN","ProviderName","CountryCode","CategoryName","FE_Provider","Rescinded"
"0433","10020381","Tavistock and Portman NHS Foundation Trust","E","England - Approved","","0"
"0434","10067648","University Academy 92 Limited","E","England - Approved (Fee Cap)","","0"
"0435","10083403","The Engineering and Design Institute London","E","England - Approved (Fee Cap)","","0"
"0436","10082828","College of Legal Practice Limited","E","England - Approved (Fee Cap)","","0"
"0437","10082743","ThinkSpace Education Limited","E","England - Approved (Fee Cap)","","0"
"0438","10008899","The Ashridge (Bonar Law Memorial) Trust","E","England - Approved","","0"
"0439","10003284","Inchbald School of Design Limited","E","England - Approved","","0"
"0440","10049370","MLA College","E","England - Approved","","0"
"0441","10066143","Paris Dauphine International","E","England - Approved","","0"
"0443","10005378","Rambert School","E","England - Approved (Fee Cap)","","0"
"0444","10004028","The Place, London Contemporary Dance School (LCDS)","E","England - Approved (Fee Cap)","","0"
"0445","10001444","National Centre for Circus Arts","E","England - Approved (Fee Cap)","","0"
"0446","10001264","Central School of Ballet","E","England - Approved (Fee Cap)","","0"
"0447","10055902","Multiverse","E","England - Approved","","0"
"0448","10088214","S P Jain London School of Management Limited","E","England - Approved (Fee Cap)","","0"
"0449","10083464","Peking University HSBC Business School UK Campus","E","England - Approved","","0"
"0450","10027603","International College of Musical Theatre","E","England - Approved","","0"
"0451","10020038","Commonwealth College of Excellence","E","England - Approved","","0"
"0452","10089591","Walbrook Institute London Limited","E","England - Approved (Fee Cap)","","0"
"0453","10002011","Bird College","E","England - Approved","","0"
"0454","10086359","Caspian School of Academics","E","England - Approved (Fee Cap)","","0"
"0455","10007810","Birmingham Christian College","E","England - Approved","","0"
"0456","10030497","Anglo Skills College","E","England - Approved","","0"
"0457","10020118","Higher Rhythm Limited","E","England - Approved","","0"
"0458","10031239","LMA","E","England - Approved (Fee Cap)","","0"
"0459","10057622","The School of Information Risk Management","E","England - Approved (Fee Cap)","","0"
"0460","10083397","College of Medicine and Dentistry","E","England - Approved","","0"
"0461","10089771","Engineering College of Technology Limited","E","England - Approved (Fee Cap)","","0"
"0462","10091065","Collective Acting Studio","E","England - Approved (Fee Cap)","","0"
"0463","10089288","Corndel College London","E","England - Approved (Fee Cap)","","0"
"0464","10029147","London School of Jewish Studies","E","England - Approved (Fee Cap)","","0"
"0465","10092025","ACMET London College","E","England - Approved","","0"
"0466","10064423","Oxford International Education Group","E","England - Approved","","0"
"0467","10004747","St Hild College","E","England - Approved (Fee Cap)","","0"
"0468","10082026","EM Normandie UK Ltd","E","England - Approved","","0"
"0469","10013122","Sysco Business Skills Academy Limited","E","England - Approved (Fee Cap)","","0"
"0470","10090839","National Institute of Teaching","E","England - Approved (Fee Cap)","","0"
"0471","10003746","Laine Theatre Arts","E","England - Approved","","0"
"0472","10091282","London School of Innovation Ltd","E","England - Approved","","0"
"0473","10032295","Emmanuel Theological College","E","England - Approved (Fee Cap)","","0"
"0474","10004389","Ming-Ai (London) Institute","E","England - Approved","","0"
"0475","10009213","Fashion Retail Academy","E","England - Approved","","0"
"1001","10007709","York College","E","England - Further Education College (EFEC)","Yes","0"
"1002","10007696","Yeovil College","E","England - Further Education College (EFEC)","Yes","0"
"1003","10007434","West Thames College","E","England - Further Education College (EFEC)","Yes","0"
"1004","10007977","Heart of Worcestershire College","E","England - Further Education College (EFEC)","Yes","0"
"1005","10007578","City of Wolverhampton College","E","England - Further Education College (EFEC)","Yes","0"
"1006","10007427","West Nottinghamshire College","E","England - Further Education College (EFEC)","Yes","1"
"1007","10007419","West Kent and Ashford College","E","England - Further Education College (EFEC)","Yes","1"
"1008","10007455","Capital City College Group","E","England - Further Education College (EFEC)","Yes","0"
"1009","10007553","Wirral Metropolitan College","E","England - Further Education College (EFEC)","Yes","0"
"1010","10002107","The Windsor Forest Colleges Group","E","England - Further Education College (EFEC)","Yes","0"
